nama;partai;dapil
Ir A L LONGDONG;persatuan indonesia;Sulawesi Utara
Ir A. ANDRIANSYAH;partai gerakan indonesia raya;Jawa Barat VIII
Ir A. BAGUS PEKIK. H;partai demokrasi indonesia perjuangan;Jawa Barat IV
A. DADAN SURYANA S.Sos;partai golongan karya;Banten I
A. DARSONO SH, MH;persatuan indonesia;Jawa Barat X
A. GUNAWAN SE;partai gerakan indonesia raya;Jambi
A. HAFIZ AZHARI;partai bulan bintang;Jawa Timur X
A. JABIDI RITONGA;partai kebangkitan bangsa;Sumatera Utara III
A. MAHYANTO MAZDA SH., MH;partai amanat nasional;Sulawesi Selatan II
Ir A. RAFIUDDINSYAH;persatuan indonesia;Sulawesi Selatan III
H A. RAHMAN S.Sn., M.Sn., M.I.Kom;partai persatuan pembangunan;Lampung I
A. SALAM. HD S.HI;persatuan indonesia;Jambi
A. SRI WAHYUNI ASTI S.Pd ., M.Pd;partai amanat nasional;Sulawesi Selatan I
A. SUMANTRI SH;partai bulan bintang;Jawa Barat XI
R.M A. SYARIF HIDAYAT;partai berkarya;Jawa Tengah I
A.A. BAGUS ADHI MAHENDRA PUTRA;partai golongan karya;BALI
A.A. NGURAH ALIT WIRAPUTRA SH., MH;partai gerakan indonesia raya;BALI
Drs A.R.ALLORANTE;partai nasdem;Sulawesi Tenggara
Dr AAD HARHARAH MHA., FS.;partai berkarya;Jawa Timur I
AAN HANAFI;partai amanat nasional;Jawa Barat X
Drs AAP APTADI;persatuan indonesia;Banten I
Ir AB. HENDRAWAN;partai keadilan sejahtera;Jawa Timur VI
DR. DRS ABBAS THAHA MM. BEE;partai bulan bintang;Dki Jakarta II
ABD FATAH;partai persatuan pembangunan;Jawa Timur VIII
ABD HAFID BASO;partai golongan karya;Jawa Timur X
Ir ABD KADIR ASSEGAF;partai bulan bintang;Jawa Barat VII
ABD WAHAB NUR;partai persatuan pembangunan;Sulawesi Barat
Drs ABD WARIS HASAN;partai berkarya;Sulawesi Barat
ABD. HARIS S.H.;partai kebangkitan bangsa;Jawa Timur VIII
ABD. RAHMAN;partai persatuan pembangunan;Lampung I
ABD. RAHMAN ADAM SE;partai amanat nasional;Gorontalo
ABD. RAZAK SAID;partai golongan karya;Jawa Barat VIII
ABD. ROSYID SH. MPd;partai persatuan pembangunan;Jawa Barat VI
ABDIL HALIMS STANI ST., M.Sc.;partai berkarya;Jawa Timur XI
Ir ABDILLAH NATSIR;partai golongan karya;Sulawesi Selatan III
Ir ABDUL AZIS S.Pd, MM, M.AP;partai persatuan pembangunan;Sumatera Utara III
Drs ABDUL BASYID HAS M.Pd;partai kebangkitan bangsa;Kepulauan RIAU
ABDUL GAFUR SE;partai persatuan pembangunan;Nusa Tenggara Timur I
ABDUL GANI;partai persatuan pembangunan;Jawa Barat V
ABDUL HAKIM ACHMAD AITUARAUW;partai berkarya;Papua Barat
ABDUL HALIK S.Sy;persatuan indonesia;Jawa Timur II
ABDUL KADIR ZAILANI H.DH;partai kebangkitan bangsa;Papua Barat
ABDUL KHAKIM S.HI;persatuan indonesia;Jawa Tengah III
ABDUL KHALIQ LC.;partai berkarya;Jawa Timur II
H ABDUL MALIK HARAMAIN M.Si;partai kebangkitan bangsa;Jawa Timur II
ABDUL MANAF S.Pd.I;partai kebangkitan bangsa;Sumatera Utara I
ABDUL MANAP;partai persatuan pembangunan;Jawa Timur VII
ABDUL MUIZ;persatuan indonesia;D. I. Yogyakarta
ABDUL MUNAWAR K. ISMAIL SHI;persatuan indonesia;Jawa Timur V
ABDUL MUTTALIB TUANAYA;partai amanat nasional;Maluku
ABDUL RAHMAN FARISI S.E., M.S.E.;partai golongan karya;Sulawesi Tenggara
